Attendance,Hours_Studied,Previous_Scores,Tutoring_Sessions,Physical_Activity,Sleep_Hours,Parental_Involvement_Low,Exam_Score
70,22,72,2,3,8,0,67
67,22,71,2,2,6,0,65
91,24,93,0,2,7,0,71
65,32,57,2,3,8,0,65
78,19,74,2,5,9,0,66
80,15,80,0,5,7,0,65
87,12,53,2,1,7,0,65
85,16,93,1,3,7,1,68
92,20,66,2,2,5,0,68
62,31,83,0,2,8,0,67
72,17,96,3,3,5,1,65
71,21,86,2,2,8,0,66
66,20,94,0,4,7,0,63
72,27,53,1,5,5,0,70
72,35,75,1,5,5,0,72
81,17,78,2,2,6,0,67
87,17,84,0,3,6,0,67
75,26,56,1,5,9,1,66
89,24,83,1,3,7,1,66
73,31,57,2,4,8,0,69
72,24,53,0,4,9,0,62
82,18,73,2,4,9,1,66
61,24,80,0,3,7,0,64
63,27,98,1,2,6,0,67
77,25,85,2,1,8,0,71
98,23,80,1,2,6,0,73
89,26,61,0,3,10,0,68
64,27,58,2,1,8,0,66
94,28,80,3,4,7,0,75
89,24,61,1,3,8,0,72
84,19,85,1,3,7,0,68
93,21,56,1,3,6,0,68
76,27,67,1,4,8,1,69
69,15,89,1,2,7,0,63
80,22,92,0,2,10,0,70
82,18,67,1,3,6,1,66
82,20,60,3,4,8,1,66
83,28,98,1,2,6,0,72
98,21,88,1,3,6,1,71
96,20,90,3,2,4,0,72
95,12,61,4,1,8,0,69
92,24,71,2,2,6,1,71
98,24,53,3,2,9,0,69
64,33,55,1,3,8,0,68
71,18,61,2,4,7,1,61
80,21,65,2,1,5,0,68
94,21,100,0,3,8,0,72
80,29,71,0,3,6,0,70
90,19,85,0,5,5,0,73
66,22,95,3,3,8,0,67
70,24,62,2,4,5,0,65
89,21,57,1,2,4,0,68
67,17,62,3,3,9,1,65
74,21,94,1,1,6,0,97
71,26,83,1,3,4,0,66
74,14,73,2,3,6,0,67
88,21,91,2,1,6,0,70
75,16,62,3,4,9,0,66
82,27,62,1,4,5,0,69
64,11,78,2,4,5,0,62
92,17,90,1,3,8,0,68
75,22,63,1,2,6,0,67
86,29,61,0,4,7,0,68
89,20,74,1,2,6,0,69
68,17,57,1,1,10,0,62
95,31,87,2,3,5,0,75
85,11,79,2,3,7,0,65
77,7,76,2,3,9,0,63
67,23,94,1,2,6,0,66
98,17,87,3,5,6,1,71
90,14,57,0,3,8,0,66
68,24,71,2,4,9,0,66
74,21,66,1,4,6,0,66
92,17,90,1,3,9,0,71
88,12,86,3,3,7,0,68
91,25,74,1,3,8,0,71
78,24,91,0,3,9,0,68
89,19,71,2,4,8,1,68
75,31,90,2,2,7,0,68
68,14,52,2,2,6,0,62
85,11,57,0,5,10,0,65
99,16,88,2,3,6,1,71
72,20,56,0,6,7,0,63
78,21,84,1,4,8,0,68
87,19,86,1,4,8,0,69
82,22,83,1,2,10,0,69
94,12,91,3,3,7,0,71
90,29,76,0,1,7,0,71
62,20,95,0,3,9,0,62
100,27,78,2,2,7,1,70
90,22,75,1,3,8,0,70
95,23,75,2,2,7,0,73
86,23,96,3,2,8,0,71
94,23,62,2,0,8,0,69
64,24,85,0,3,6,0,66
74,28,62,1,3,4,0,65
95,21,55,2,1,4,0,71
68,24,98,2,2,4,0,68
63,19,56,2,3,7,0,64
92,29,84,2,3,4,1,71
93,16,71,0,2,7,1,67
67,31,92,2,3,7,0,66
94,20,89,1,4,8,1,71
87,11,57,0,2,8,1,62
81,21,73,3,2,8,0,67
93,16,51,3,2,8,0,67
77,25,71,0,3,7,1,66
68,16,85,1,3,7,1,64
71,17,62,2,3,6,1,62
80,9,91,1,3,7,0,65
81,17,53,0,1,5,0,63
92,5,52,2,4,9,0,64
92,10,51,1,3,6,1,65
83,25,64,0,2,7,0,68
91,25,73,2,3,7,0,72
68,23,55,0,3,9,0,64
62,14,100,1,3,4,0,62
95,20,100,3,2,7,0,69
63,20,76,3,4,8,1,64
70,13,78,1,2,10,0,61
88,29,96,2,2,7,0,72
76,25,88,1,3,6,0,66
95,19,58,2,3,10,0,69
72,20,90,2,2,8,0,65
60,21,62,2,3,9,0,64
72,8,72,3,4,5,1,62
83,19,77,1,4,8,0,66
75,16,86,0,1,5,1,62
81,14,58,3,4,5,0,66
95,18,54,2,3,8,0,70
96,31,93,3,3,8,0,75
71,24,91,3,2,6,1,67
78,17,76,4,2,9,1,66
82,23,83,2,3,6,0,71
98,28,86,2,2,7,0,75
100,26,74,1,2,7,0,72
69,20,63,2,2,7,0,64
89,16,74,1,3,9,0,65
75,24,98,1,3,5,1,67
60,22,92,2,2,6,0,63
60,25,73,1,2,5,0,62
78,24,61,2,4,10,1,69
80,26,94,1,2,7,0,70
61,17,82,0,4,6,1,63
87,28,70,2,2,7,0,71
72,21,56,0,4,8,0,63
82,32,88,0,2,8,1,71
72,16,66,0,4,6,0,63
67,30,80,0,4,6,0,68
76,21,78,0,3,5,0,65
69,16,85,0,3,7,0,66
81,17,77,3,4,9,1,66
68,18,82,0,3,6,0,66
80,23,54,0,2,8,1,65
66,23,83,0,2,6,0,66
87,17,60,4,3,5,0,67
90,20,70,0,3,8,0,68
64,33,76,2,3,10,0,68
79,30,84,3,3,8,1,69
63,23,87,1,2,6,0,64
84,20,85,0,3,6,0,67
71,21,55,1,4,10,0,63
81,24,69,3,3,7,1,67
81,14,64,2,2,6,0,64
97,18,70,0,2,7,1,66
82,10,82,2,4,7,0,65
83,22,60,4,2,8,0,68
76,24,75,0,5,9,1,66
98,17,94,0,3,9,0,71
91,29,87,2,4,7,0,74
71,13,86,2,3,7,0,65
94,11,92,0,4,8,1,68
77,21,70,2,2,6,0,68
93,26,88,1,4,8,0,72
93,30,53,3,2,7,0,74
68,17,53,0,2,8,1,61
88,26,67,0,3,10,1,65
72,20,60,0,5,8,0,63
72,19,76,1,2,7,0,66
72,25,59,2,3,6,1,66
89,24,99,2,4,7,0,73
69,11,93,0,4,5,0,63
60,29,99,0,4,8,0,68
89,28,90,3,2,4,0,73
67,16,98,0,3,8,1,63
64,22,68,2,4,8,0,65
70,23,75,0,4,7,1,66
75,22,62,0,3,6,1,65
79,17,82,0,2,7,1,66
62,16,89,3,3,4,0,65
99,20,75,2,2,8,0,70
89,27,65,1,3,7,0,70
73,23,75,0,3,9,0,68
73,18,53,1,3,8,0,64
78,25,86,1,3,7,0,68
85,3,73,2,3,8,1,62
66,27,95,1,3,6,0,68
68,10,96,1,3,6,1,61
94,18,56,1,3,7,0,69
70,13,100,3,3,7,0,65
75,12,98,2,2,6,0,65
95,27,81,3,2,7,0,72
87,17,91,3,3,7,0,70
74,22,51,1,4,10,0,65
87,20,99,3,3,7,0,69
61,23,73,1,3,6,0,65
89,20,95,3,2,7,1,69
79,12,69,2,3,9,1,65
93,26,89,0,3,9,0,72
98,17,71,0,3,10,0,70
97,11,68,0,2,7,0,64
96,17,97,0,3,8,0,67
80,29,85,0,2,5,0,69
74,25,92,4,3,6,1,70
79,18,77,1,3,5,0,65
88,18,96,1,3,8,0,69
95,18,87,5,2,7,0,74
68,32,54,1,1,7,1,66
97,22,88,1,4,6,0,72
93,23,51,0,1,8,0,67
99,26,91,2,4,4,1,75
95,21,67,3,2,7,0,70
71,18,80,1,4,7,1,63
64,19,87,2,4,4,0,65
64,20,82,3,3,8,0,64
72,20,84,2,2,7,0,65
85,24,95,2,4,8,0,70
92,20,69,0,2,10,0,67
96,24,77,0,2,7,0,67
85,20,59,1,3,8,0,68
60,20,73,4,4,9,0,65
67,8,58,2,1,8,0,61
64,25,82,2,3,6,0,63
75,22,66,2,2,5,0,80
80,26,93,2,1,8,0,69
62,3,67,1,3,6,0,55
74,33,64,2,4,9,0,70
67,19,75,1,3,6,0,65
86,27,59,1,3,7,1,68
79,14,60,3,5,5,0,64
80,24,89,1,3,6,0,69
77,14,75,1,4,6,1,89
98,16,60,1,3,6,0,67
69,31,52,2,5,7,0,92
81,19,73,1,3,6,0,67
89,21,87,3,3,10,1,70
82,25,68,1,3,8,0,68
97,23,62,0,2,9,0,70
75,21,70,3,4,7,0,67
79,22,98,0,3,7,0,69
64,34,71,0,4,6,0,67
84,20,63,0,4,10,0,69
72,21,78,0,1,7,0,63
66,26,91,3,3,6,0,69
82,27,51,1,3,6,0,66
81,27,78,0,3,8,0,68
63,24,92,4,4,9,0,69
88,13,61,4,3,9,0,66
85,30,96,1,4,6,0,72
68,13,79,1,3,6,1,62
79,22,76,1,2,9,0,67
89,15,98,0,2,10,0,67
81,20,56,1,3,7,0,67
76,22,87,2,3,9,0,65
73,22,91,1,3,5,0,67
84,23,74,3,1,6,1,66
98,30,50,0,2,5,1,70
87,23,76,2,5,8,1,71
63,19,58,2,3,7,1,64
78,26,78,4,4,7,1,69
96,27,87,0,2,9,0,72
64,13,77,0,4,6,0,60
100,24,82,1,3,7,0,71
98,24,55,0,3,5,0,71
63,18,55,2,2,9,0,66
97,28,93,3,3,9,0,74
75,19,52,0,4,8,0,64
94,21,64,2,2,7,0,68
77,19,97,4,2,6,0,66
78,20,73,1,3,5,0,65
85,13,84,0,5,7,1,64
91,11,61,1,3,8,0,65
61,30,64,4,2,10,0,69
84,15,75,2,4,6,0,68
67,14,82,1,3,7,0,62
74,7,98,3,2,9,1,63
74,16,79,0,4,9,0,65
79,12,55,1,4,6,1,62
73,30,68,0,2,7,1,67
64,26,62,1,5,6,1,64
66,16,63,2,3,6,0,61
61,34,75,1,2,9,1,65
79,26,66,1,5,7,0,67
98,18,64,0,4,7,0,70
65,5,98,1,3,7,0,59
98,34,79,1,4,7,0,75
89,12,63,4,2,7,1,67
85,10,64,1,3,6,0,64
86,26,91,3,3,9,0,72
93,35,94,5,2,6,0,76
64,28,84,2,2,6,0,69
80,23,72,0,5,7,1,65
88,24,88,2,1,10,0,72
83,25,97,0,4,6,0,69
93,25,58,0,4,8,0,71
63,22,93,0,2,7,0,64
88,21,92,2,3,7,0,74
81,20,68,0,3,8,0,68
75,15,65,1,4,4,0,66
74,18,78,0,2,6,0,65
85,10,64,2,3,8,0,67
96,19,57,0,3,7,0,69
80,14,98,2,2,7,0,66
93,13,75,1,2,8,0,69
76,21,74,2,3,6,0,67
64,28,56,1,2,9,0,64
62,26,75,2,2,8,0,67
62,11,87,3,3,7,1,61
75,14,62,0,2,8,0,61
73,26,68,4,2,9,0,68
89,14,59,2,5,6,1,66
90,19,68,0,4,8,0,66
62,23,93,2,4,10,0,68
69,14,62,1,2,8,1,63
71,21,51,3,3,7,0,66
82,12,77,0,4,10,0,66
66,16,79,0,3,7,0,66
65,22,66,2,4,9,0,65
98,10,82,2,2,6,0,69
92,23,52,1,2,9,0,71
67,20,67,1,2,6,0,66
76,23,57,1,3,7,0,66
74,21,61,0,4,6,0,65
92,28,69,4,4,10,1,71
80,21,75,3,2,7,0,69
65,17,55,2,3,5,1,61
90,21,55,1,4,7,0,70
76,23,84,2,4,8,0,70
71,20,70,0,4,7,0,65
75,20,59,2,1,6,0,64
80,16,62,0,4,9,0,68
74,16,86,1,2,9,1,63
70,12,53,2,3,5,0,63
76,30,75,3,3,6,0,71
61,13,68,1,2,7,0,58
91,16,91,1,2,6,0,68
67,16,90,1,4,8,0,65
62,25,84,2,3,10,0,65
86,18,69,2,2,6,0,68
91,27,82,0,1,9,1,69
93,16,82,5,1,5,0,71
80,22,67,2,2,8,1,65
68,15,94,0,5,6,1,64
89,33,99,2,4,8,1,75
88,13,66,1,4,4,0,67
70,22,90,1,3,5,0,68
96,24,75,1,1,8,0,72
64,22,73,3,4,6,0,67
99,19,69,1,3,7,0,72
94,19,65,1,3,10,0,69
88,20,96,0,3,7,1,68
98,19,87,0,6,8,0,70
89,26,72,1,3,6,0,69
68,33,88,2,1,5,0,67
78,17,86,0,3,7,0,63
63,12,63,4,2,5,0,61
76,19,59,1,3,6,0,66
90,35,92,0,4,7,0,73
75,15,91,0,3,7,0,67
73,30,100,2,2,8,0,72
84,30,51,1,4,8,0,69
95,17,77,2,4,5,1,69
62,23,85,1,3,6,1,63
75,30,79,0,4,4,0,67
66,18,86,0,2,6,0,63
88,19,57,1,4,8,0,66
64,17,50,2,4,9,0,62
87,14,55,2,4,7,0,68
71,16,69,1,4,9,0,65
68,13,66,0,4,8,1,59
97,20,94,1,1,7,0,72
61,15,54,0,2,6,0,63
78,21,72,1,4,4,0,68
61,11,98,0,2,9,0,61
79,22,75,1,3,7,1,65
80,25,57,2,3,9,0,68
73,8,65,1,4,6,1,61
65,22,81,1,3,10,1,63
75,27,51,1,2,7,0,67
87,13,98,0,3,6,1,66
91,30,78,3,2,7,0,75
81,23,85,0,4,7,0,68
84,16,75,2,3,7,1,65
68,20,98,0,4,6,1,64
71,23,79,2,3,4,0,67
66,20,83,2,3,6,1,64
70,23,93,0,2,9,0,67
69,14,93,2,0,6,0,63
81,21,51,0,2,4,0,67
83,12,64,1,2,5,0,65
98,19,62,1,2,7,0,70
68,15,50,2,3,6,0,62
86,16,94,2,3,7,0,69
93,27,66,2,3,6,0,70
82,27,67,1,2,9,0,68
70,24,55,4,4,8,0,68
71,13,99,0,3,10,0,64
62,18,91,4,1,6,1,63
72,27,79,2,2,7,1,68
90,21,89,1,2,9,0,67
62,34,89,3,4,8,0,68
69,22,83,1,2,6,0,66
88,21,59,2,1,8,0,67
91,18,86,1,4,8,0,69
78,21,78,2,3,4,0,68
88,19,86,4,3,6,0,70
76,24,77,3,4,7,0,68
66,26,98,2,2,9,1,66
76,15,81,2,4,8,0,67
83,12,79,1,4,6,0,65
98,9,92,0,5,6,0,67
63,23,69,2,4,8,0,63
80,13,66,2,2,4,1,64
73,7,75,3,3,6,0,64
80,22,79,0,3,9,1,66
61,35,61,2,4,7,0,68
73,20,84,0,3,6,0,67
93,25,90,1,2,5,0,72
82,20,79,1,4,8,0,67
78,19,76,2,3,7,0,66
71,26,65,1,3,7,0,66
72,18,95,1,4,8,0,67
75,22,88,0,3,7,0,65
93,22,74,2,3,7,0,70
99,16,83,0,4,5,1,69
78,26,67,1,3,5,0,69
76,19,53,1,4,8,0,66
94,15,60,2,4,8,0,66
77,23,54,1,3,8,0,67
82,15,75,1,3,6,0,67
69,20,81,2,4,8,0,67
90,20,69,2,3,6,0,72
81,27,77,1,4,9,0,68
92,23,54,3,2,6,0,70
91,20,88,1,4,6,0,69
69,25,52,1,4,7,0,65
89,28,82,0,3,8,0,72
92,23,72,0,4,7,0,69
74,20,59,5,4,7,0,68
67,12,76,1,2,6,0,62
60,14,89,2,3,7,0,60
78,18,71,3,4,7,0,67
74,16,68,2,4,6,0,67
82,19,57,1,3,7,0,67
68,20,80,0,4,7,0,63
94,23,91,1,3,10,0,71
70,20,78,0,2,6,0,66
69,23,58,0,1,6,0,65
79,20,83,2,2,7,0,69
80,8,52,2,1,6,0,63
69,14,92,3,2,5,0,64
71,19,96,2,0,5,0,67
67,13,80,1,2,6,0,62
89,24,94,2,2,6,0,68
91,29,54,2,3,5,0,71
78,27,61,1,3,7,0,66
89,19,66,1,1,4,0,69
89,29,89,1,4,8,0,71
66,21,74,2,4,6,0,66
99,18,67,5,3,6,0,72
93,16,58,1,4,8,0,70
68,18,91,1,3,8,1,65
67,18,51,0,2,6,0,64
65,21,67,1,2,8,0,63
66,21,62,3,2,9,0,63
90,20,56,3,2,5,1,66
79,23,59,1,4,8,0,68
91,27,75,1,4,5,0,74
90,26,71,0,2,9,0,71
84,11,76,3,3,6,0,67
87,5,86,2,3,6,0,66
61,26,95,0,6,9,0,67
72,12,56,3,1,8,1,62
86,19,54,1,5,6,0,68
60,13,66,2,3,7,0,62
61,9,77,1,2,6,0,82
94,23,55,2,2,5,0,70
87,25,86,4,2,7,0,72
71,17,78,0,4,6,1,64
88,4,87,1,4,6,0,66
92,17,68,0,3,9,0,68
72,22,70,1,3,6,1,64
61,11,90,0,3,7,1,61
97,21,63,0,1,9,0,69
74,20,69,2,2,7,0,68
64,23,51,1,5,6,0,64
80,21,78,1,4,7,0,67
91,14,93,0,3,8,0,67
69,27,51,1,2,8,0,65
71,19,81,2,3,10,0,68
70,20,92,2,3,6,0,67
100,14,75,1,3,7,1,67
68,17,66,1,4,5,0,64
83,15,100,0,3,8,0,70
97,19,53,2,3,7,0,69
66,30,61,0,2,7,0,66
99,12,94,2,3,6,1,69
98,10,65,1,2,6,1,66
95,29,91,1,3,7,0,73
69,19,67,4,4,6,0,66
85,16,91,0,2,7,0,69
90,26,84,1,3,7,0,70
99,16,73,1,5,5,0,71
67,31,76,2,4,5,1,70
91,24,59,0,4,6,0,69
74,17,56,1,3,9,0,63
67,33,86,4,3,6,0,71
77,16,92,2,2,7,0,67
92,24,86,3,2,5,0,73
79,22,96,1,2,6,1,68
82,28,95,0,3,5,1,69
100,29,89,2,3,8,0,76
76,20,95,4,3,5,1,68
85,15,58,1,3,8,0,65
75,23,87,0,1,8,0,66
76,16,88,0,2,7,0,65
88,32,58,3,3,8,1,69
98,21,95,0,1,10,0,71
82,18,50,1,3,8,0,66
91,21,72,3,3,5,0,69
64,12,51,2,4,9,0,59
68,14,76,2,3,7,0,65
80,27,71,4,2,10,0,72
61,16,81,0,2,6,0,60
70,14,88,0,4,9,0,64
81,23,88,1,4,7,0,69
61,27,86,3,3,10,0,70
71,24,55,2,3,7,0,67
81,26,71,0,5,10,0,67
83,15,91,0,3,8,0,64
97,11,83,4,2,8,0,68
86,29,84,1,4,10,0,72
77,18,61,1,3,6,0,65
97,18,66,2,2,8,0,70
91,28,98,2,5,7,0,75
68,23,92,3,4,7,1,65
65,23,58,1,3,7,0,63
87,33,77,0,3,8,0,71
82,16,75,2,2,8,0,66
92,26,72,1,3,6,0,69
90,20,74,0,3,7,0,68
85,22,82,1,2,4,0,71
99,29,98,5,2,8,0,77
81,23,94,1,2,10,0,70
65,23,94,1,3,7,0,66
93,26,85,1,3,5,0,73
70,18,51,1,3,8,0,62
91,15,72,0,2,6,0,65
98,14,76,0,2,7,0,71
88,8,92,1,4,8,0,66
84,32,96,1,3,8,1,72
78,13,73,0,4,9,0,64
75,19,65,0,4,7,0,63
74,18,67,0,3,7,1,63
85,22,79,5,2,8,0,72
90,25,64,2,2,7,0,71
87,25,96,3,2,6,0,72
68,17,71,1,2,8,0,65
80,19,100,0,3,5,0,67
92,22,55,1,4,7,1,68
79,19,59,2,2,5,0,66
81,30,76,0,3,6,0,72
91,23,93,3,3,6,0,71
86,24,68,3,3,6,0,70
76,24,92,1,3,9,0,68
96,27,71,0,4,9,0,72
67,21,93,1,3,9,1,66
100,12,64,1,6,7,0,69
65,22,74,2,1,6,1,65
61,16,64,1,3,8,0,62
96,17,61,1,1,7,0,69
70,24,71,1,4,7,0,65
89,27,67,2,4,4,0,69
92,20,89,1,3,8,1,69
94,22,87,2,5,8,0,73
100,30,68,2,2,7,0,75
72,21,100,3,3,8,0,70
88,36,99,0,3,8,0,74
65,23,96,0,3,6,0,65
76,9,79,1,3,7,0,63
94,25,71,4,4,5,0,74
75,22,66,0,2,9,0,67
84,28,51,3,4,8,0,71
80,24,82,1,3,6,0,68
86,19,78,2,4,8,0,69
99,13,81,0,4,7,0,71
62,19,79,7,2,6,0,66
83,15,57,0,3,7,0,65
95,17,85,1,2,8,0,66
79,24,68,2,2,8,1,65
63,30,76,1,4,10,0,67
82,22,68,2,4,7,0,70
73,13,51,1,4,7,0,63
66,23,94,1,3,8,1,64
94,27,57,1,1,7,0,71
81,16,79,2,3,6,0,68
97,19,94,2,4,6,0,72
92,20,61,2,4,4,0,71
88,15,71,1,2,8,1,64
60,24,69,1,5,5,0,64
77,19,54,3,2,6,0,66
68,23,71,3,3,7,0,68
96,15,74,2,2,7,0,68
67,17,51,3,5,10,0,65
71,24,74,1,3,5,0,67
81,18,55,3,2,10,0,64
71,30,95,1,4,9,0,70
68,18,83,1,2,8,0,65
84,21,53,2,3,9,0,65
64,26,91,1,4,8,0,68
62,11,68,2,3,4,0,61
75,9,61,3,3,8,0,63
89,11,63,0,2,5,0,65
82,28,80,1,5,6,0,69
77,17,54,1,2,7,0,64
83,35,53,1,2,6,0,69
75,17,81,3,3,8,0,67
97,21,99,1,1,7,0,74
62,29,74,1,3,8,0,66
87,32,71,0,4,7,0,72
96,32,97,1,5,7,0,73
92,27,62,0,4,6,0,73
67,26,62,0,2,5,1,63
72,24,95,3,2,7,0,69
89,25,82,2,6,6,1,71
63,17,53,1,4,9,0,63
92,15,84,0,5,5,0,69
89,20,91,3,3,10,0,72
89,19,64,2,4,7,0,68
64,17,69,1,3,7,1,62
89,24,60,1,2,6,1,68
87,26,82,1,2,8,0,71
93,21,83,1,3,7,0,67
62,29,53,0,3,7,1,65
61,13,84,1,3,8,1,60
75,19,83,2,2,8,0,68
66,16,52,1,3,9,1,59
82,9,78,0,0,8,0,64
97,20,81,2,3,6,0,71
76,19,72,2,2,4,0,68
94,29,95,2,3,7,1,70
60,24,66,1,4,7,1,62
67,14,53,2,3,10,0,62
61,31,84,2,3,7,0,68
73,27,80,3,3,8,0,68
96,23,99,3,4,8,0,74
64,19,62,0,4,8,1,61
84,14,70,1,5,8,0,67
78,18,73,1,2,6,0,65
98,27,93,5,3,6,1,101
65,31,71,1,4,7,0,65
68,29,89,0,4,4,0,67
61,17,58,2,3,7,0,61
77,13,70,3,4,6,0,64
71,21,58,1,3,7,0,64
95,9,97,1,2,7,0,67
84,22,59,0,3,5,0,69
85,19,71,1,2,9,0,69
81,17,54,4,3,7,0,67
64,10,96,1,3,8,0,62
78,23,81,0,1,7,1,66
100,17,98,0,4,8,0,72
93,13,52,2,3,5,0,67
96,3,59,2,3,9,0,66
93,20,69,2,4,8,1,67
64,31,81,1,4,7,0,67
69,30,66,0,4,7,0,68
60,17,86,0,2,9,0,63
72,16,58,1,2,6,0,62
64,23,80,3,2,5,0,65
79,14,70,1,6,6,0,65
87,22,75,0,2,7,0,70
95,25,78,7,4,7,1,73
90,27,53,1,2,9,0,73
98,19,96,2,2,6,0,68
62,19,89,3,1,6,0,63
60,15,72,2,2,5,0,62
86,15,77,0,3,8,0,69
72,19,52,2,3,5,0,66
70,22,75,0,3,8,0,68
73,25,71,0,3,6,0,67
71,15,69,2,4,6,0,65
80,29,91,1,3,10,1,70
78,18,59,0,1,9,1,64
80,20,59,2,3,7,1,65
87,16,76,1,2,5,0,67
75,5,84,0,4,10,0,62
70,25,51,3,4,7,0,66
67,24,77,0,2,7,0,68
74,18,65,0,4,8,0,64
90,20,88,3,3,4,0,69
90,23,73,1,2,6,0,69
87,11,92,1,5,7,0,67
69,17,70,0,3,7,0,61
84,25,91,1,4,5,0,70
83,12,86,1,4,7,1,65
79,22,91,0,4,7,0,66
82,12,91,3,3,10,1,66
80,23,74,4,3,9,0,69
83,20,68,1,1,7,0,67
89,10,88,2,2,7,0,71
64,27,68,1,4,9,0,68
90,16,54,2,3,7,0,67
65,15,93,2,4,5,0,63
63,21,70,1,2,10,0,64
99,27,57,3,3,6,0,73
98,14,82,1,3,10,0,69
62,20,94,1,3,8,0,65
78,23,93,0,5,6,0,70
67,24,78,1,2,4,0,67
79,21,54,3,3,8,0,67
93,18,85,0,3,5,0,70
98,15,80,2,2,8,0,69
85,21,61,2,2,10,0,68
74,14,95,1,3,5,0,66
84,2,54,3,4,8,1,62
72,23,69,2,4,6,0,67
96,25,55,2,4,9,0,71
95,6,96,4,2,7,0,68
82,14,52,3,2,7,0,66
73,24,71,0,3,9,1,64
72,32,93,1,4,8,0,71
61,20,63,1,4,6,1,61
93,16,55,2,2,10,0,67
78,19,56,3,4,5,0,65
73,28,70,0,6,7,0,66
79,16,71,2,4,6,0,68
93,15,86,0,2,5,0,66
65,17,62,2,4,5,0,63
94,14,85,1,3,7,1,66
96,21,100,1,2,8,0,73
98,30,93,1,3,9,0,88
76,22,82,0,4,9,0,67
69,18,97,2,2,7,0,69
75,18,100,2,3,6,0,67
73,11,79,1,2,9,0,64
67,25,64,0,2,6,0,64
84,20,96,1,2,5,1,65
79,19,92,1,2,8,0,68
95,39,54,2,3,9,0,77
61,22,97,0,2,6,0,63
86,15,68,0,5,10,0,69
91,17,66,3,2,8,0,69
90,27,67,2,3,8,0,70
95,21,66,1,4,6,0,73
89,11,76,1,3,9,0,66
97,26,79,2,3,5,0,71
73,16,71,2,5,6,0,66
80,31,71,2,3,6,0,71
61,26,87,3,2,5,0,66
60,17,50,0,4,8,0,63
70,28,97,5,5,8,0,70
64,20,86,1,2,8,0,66
70,25,85,1,4,7,0,66
67,23,71,2,4,8,0,66
61,15,98,1,3,7,0,62
96,16,50,1,3,6,0,69
60,26,54,1,1,6,1,63
89,18,90,1,2,4,0,68
66,18,87,1,3,9,0,64
96,14,64,2,3,9,1,69
96,23,80,3,3,10,1,71
86,32,77,2,4,6,0,71
87,14,76,1,4,6,0,66
60,20,80,2,3,4,0,63
99,28,100,0,2,8,1,72
95,20,99,1,3,8,0,70
96,23,99,0,2,9,0,71
86,14,77,3,3,6,1,65
74,23,66,0,4,8,0,65
96,19,78,1,2,6,1,67
72,26,81,0,3,9,0,68
83,27,66,3,4,8,0,70
64,36,82,2,2,5,0,70
97,23,81,2,3,7,1,72
66,22,95,1,5,4,0,65
69,21,62,2,3,5,0,65
82,18,85,3,4,5,0,71
91,22,73,3,4,6,0,74
85,18,56,0,4,7,1,64
69,21,66,1,4,7,0,64
60,28,53,3,3,7,0,65
90,14,66,1,5,7,1,67
99,27,53,2,3,7,0,73
92,28,96,1,3,5,1,72
78,19,55,0,3,7,0,65
96,7,91,0,4,9,0,67
76,16,95,2,3,7,0,66
81,28,73,0,3,8,0,70
79,20,53,2,3,8,0,66
78,14,80,1,1,8,0,66
91,17,62,3,3,7,0,68
81,25,59,3,4,8,1,68
73,23,78,0,4,8,0,67
70,19,68,1,3,8,0,65
62,18,87,4,4,8,0,64
83,18,80,1,2,5,0,70
69,14,91,0,3,5,1,63
66,30,53,2,2,6,0,65
86,18,62,4,2,9,1,67
87,27,78,3,5,7,0,71
90,29,94,1,4,7,0,73
80,26,91,1,3,4,0,67
96,17,84,2,3,7,0,72
97,22,79,2,0,7,0,71
92,20,82,0,4,4,0,72
85,15,61,1,3,7,0,68
72,22,80,2,3,5,1,65
99,13,75,1,4,6,0,68
71,27,69,1,4,8,0,67
68,17,94,1,4,7,0,66
78,21,91,0,1,6,0,64
62,22,54,3,3,6,0,65
99,18,99,0,3,6,0,69
84,24,61,2,2,7,0,68
82,17,61,3,4,5,0,69
86,25,97,1,3,9,0,70
80,12,72,1,4,5,0,65
61,21,90,2,3,4,0,63
84,32,64,1,3,8,1,71
89,14,94,0,2,6,0,68
77,16,92,5,3,7,0,70
90,23,76,2,3,8,0,72
69,21,85,3,1,6,0,64
69,22,98,0,2,7,1,64
66,23,73,2,2,8,0,66
75,24,75,0,3,9,0,69
94,27,86,2,2,6,0,71
93,22,69,0,3,6,0,69
75,19,98,1,3,8,0,67
84,24,52,0,3,7,1,66
89,31,70,2,2,7,0,71
70,19,86,2,2,9,0,63
67,14,71,0,4,4,0,62
99,27,63,0,4,5,0,73
85,19,71,1,3,4,0,66
99,7,94,3,2,9,0,72
74,25,77,1,2,8,0,67
88,17,67,0,3,5,1,65
69,19,84,2,4,7,0,66
70,22,81,3,2,7,0,68
80,21,78,1,4,4,0,69
73,24,70,0,3,7,0,68
67,17,54,0,2,5,0,61
71,23,81,3,2,8,0,68
61,18,71,3,3,5,0,64
88,24,71,1,3,7,0,67
80,24,62,3,3,9,1,68
64,14,62,1,4,8,0,61
67,27,89,1,3,8,0,66
64,17,74,2,2,7,0,64
85,25,55,3,3,5,1,67
64,22,52,2,4,6,0,64
90,31,61,0,3,7,0,72
61,19,74,2,3,7,0,62
70,18,81,2,2,5,0,63
96,20,57,1,4,8,0,70
89,18,72,3,3,5,0,69
63,25,54,3,2,9,1,64
93,10,52,2,3,7,1,66
